TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-10 23:00:00,21939.25,21943.55,21910.05,21925.1,11341,100,0
2025-06-11 01:00:00,21921.05,21959.0,21917.55,21948.35,4664,90,0
2025-06-11 02:00:00,21948.15,21975.1,21891.95,21929.8,10853,100,0
2025-06-11 03:00:00,21929.1,21940.75,21888.25,21891.05,11013,100,0
2025-06-11 04:00:00,21890.75,21900.1,21858.35,21884.2,10225,100,0
2025-06-11 05:00:00,21884.15,21887.0,21867.95,21871.0,6202,100,0
2025-06-11 06:00:00,21871.0,21886.0,21863.05,21883.5,5802,100,0
2025-06-11 07:00:00,21883.5,21889.65,21849.2,21852.95,5294,100,0
2025-06-11 08:00:00,21853.0,21876.45,21842.55,21857.65,7515,100,0
2025-06-11 09:00:00,21857.45,21882.0,21850.55,21872.4,8366,100,0
2025-06-11 10:00:00,21872.4,21910.95,21869.0,21905.05,12297,100,0
2025-06-11 11:00:00,21904.85,21934.4,21896.05,21919.1,9849,100,0
2025-06-11 12:00:00,21918.9,21925.2,21891.05,21893.0,7979,100,0
2025-06-11 13:00:00,21893.0,21915.2,21885.4,21905.7,7766,65,0
