TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-10 23:00:00,3328.88,3328.92,3327.52,3327.53,90,5,0
2025-06-10 23:01:00,3327.45,3328.1,3327.37,3328.08,85,5,0
2025-06-10 23:02:00,3328.08,3328.31,3327.75,3328.26,71,5,0
2025-06-10 23:03:00,3328.26,3328.26,3326.96,3327.74,92,5,0
2025-06-10 23:04:00,3327.66,3327.66,3327.15,3327.24,73,5,0
2025-06-10 23:05:00,3327.24,3327.24,3326.11,3326.67,90,6,0
2025-06-10 23:06:00,3326.67,3326.87,3326.48,3326.49,45,5,0
2025-06-10 23:07:00,3326.49,3327.42,3326.48,3327.36,77,5,0
2025-06-10 23:08:00,3327.36,3327.72,3327.19,3327.31,76,5,0
2025-06-10 23:09:00,3327.31,3327.86,3327.27,3327.74,105,5,0
2025-06-10 23:10:00,3327.76,3328.38,3327.68,3328.38,135,5,0
2025-06-10 23:11:00,3328.39,3328.78,3328.09,3328.56,78,5,0
2025-06-10 23:12:00,3328.56,3328.69,3328.31,3328.31,80,5,0
2025-06-10 23:13:00,3328.31,3328.33,3327.76,3327.76,81,5,0
2025-06-10 23:14:00,3327.76,3328.06,3327.76,3328.0,40,5,0
2025-06-10 23:15:00,3328.0,3328.54,3328.0,3328.54,44,5,0
2025-06-10 23:16:00,3328.54,3328.66,3328.3,3328.48,76,5,0
2025-06-10 23:17:00,3328.48,3328.85,3328.26,3328.27,48,5,0
2025-06-10 23:18:00,3328.27,3328.35,3327.45,3327.47,101,5,0
2025-06-10 23:19:00,3327.47,3327.47,3325.77,3326.04,114,5,0
2025-06-10 23:20:00,3326.04,3326.25,3325.39,3326.24,100,5,0
2025-06-10 23:21:00,3326.08,3326.09,3325.52,3325.83,67,5,0
2025-06-10 23:22:00,3325.83,3326.0,3325.17,3325.19,76,5,0
2025-06-10 23:23:00,3325.19,3325.26,3324.51,3324.51,96,5,0
2025-06-10 23:24:00,3324.51,3325.94,3324.4,3325.5,96,5,0
2025-06-10 23:25:00,3325.5,3325.81,3325.03,3325.73,79,5,0
2025-06-10 23:26:00,3325.73,3326.03,3325.62,3325.62,77,5,0
2025-06-10 23:27:00,3325.65,3326.56,3325.63,3326.34,96,5,0
2025-06-10 23:28:00,3326.34,3326.34,3325.62,3325.8,58,5,0
2025-06-10 23:29:00,3325.8,3326.04,3324.79,3324.92,88,5,0
2025-06-10 23:30:00,3324.92,3325.79,3324.91,3325.79,73,5,0
2025-06-10 23:31:00,3325.79,3326.2,3325.64,3325.75,73,5,0
2025-06-10 23:32:00,3325.78,3326.27,3325.78,3326.1,38,5,0
2025-06-10 23:33:00,3326.1,3326.45,3325.98,3326.18,54,5,0
